Date,Open,High,Low,Close,Adj Close,Volume
2021-12-15,19.990000,20.330000,19.549999,20.190001,19.552540,79679700
2021-12-16,20.570000,21.100000,20.260000,20.350000,19.707489,107020900
2021-12-17,20.030001,20.240000,19.600000,19.770000,19.145800,98710700
2021-12-20,19.459999,19.620001,19.049999,19.420000,18.806852,74565600
2021-12-21,19.750000,19.790001,19.330000,19.610001,18.990852,58930900
2021-12-22,19.639999,20.340000,19.639999,20.139999,19.504118,75806400
2021-12-23,20.080000,20.410000,20.000000,20.250000,19.610645,50610500
2021-12-27,20.260000,20.889999,20.100000,20.799999,20.143278,59651800
2021-12-28,20.660000,21.059999,20.590000,20.760000,20.104544,53020500
2021-12-29,20.709999,20.770000,20.450001,20.559999,19.910858,37883000
2021-12-30,20.590000,20.959999,20.469999,20.469999,19.823700,51470100
2021-12-31,20.459999,21.010000,20.459999,20.770000,20.114229,51899600
2022-01-03,21.270000,21.879999,21.059999,21.770000,21.082655,110449000
2022-01-04,22.520000,24.559999,22.420000,24.309999,23.542459,311645200
2022-01-05,24.059999,24.950001,23.469999,23.660000,22.912979,253540000
2022-01-06,24.090000,24.620001,23.360001,24.459999,23.687721,155058800
2022-01-07,24.670000,24.910000,24.040001,24.440001,23.668354,127017500
2022-01-10,24.100000,24.440001,23.350000,23.850000,23.096981,122800700
2022-01-11,23.780001,24.350000,23.280001,24.350000,23.581196,106011600
2022-01-12,24.610001,24.840000,24.010000,24.469999,23.697405,104050000
2022-01-13,24.639999,25.870001,24.370001,25.020000,24.230042,185780500
2022-01-14,24.469999,25.280001,24.299999,25.190001,24.394674,146012200
2022-01-18,24.870001,25.129999,24.299999,24.379999,23.610249,110518100
2022-01-19,24.650000,24.920000,22.410000,22.450001,21.741186,153198200
2022-01-20,21.879999,22.879999,21.570000,21.650000,20.966442,152014100
2022-01-21,21.209999,21.500000,20.540001,20.650000,19.998016,145532900
2022-01-24,19.930000,20.469999,18.799999,20.389999,19.746225,186674000
2022-01-25,20.000000,20.309999,19.559999,19.980000,19.349169,116775800
2022-01-26,21.010000,21.040001,19.570000,19.910000,19.281380,135786400
2022-01-27,20.309999,20.650000,19.410000,19.549999,18.932747,105674400
2022-01-28,19.320000,19.549999,18.920000,19.540001,19.020355,87677100
2022-01-31,19.580000,20.330000,19.370001,20.299999,19.760141,91361900
2022-02-01,20.610001,20.850000,19.920000,20.660000,20.110567,117651800
2022-02-02,20.809999,21.049999,20.180000,20.629999,20.081366,95377600
2022-02-03,20.170000,20.620001,19.870001,19.889999,19.361044,103016000
2022-02-04,18.520000,18.590000,17.520000,17.959999,17.482370,211100500
2022-02-07,17.730000,18.120001,17.700001,17.889999,17.414234,84610000
2022-02-08,17.580000,17.910000,17.020000,17.719999,17.248755,142694300
2022-02-09,18.270000,18.430000,18.030001,18.350000,17.862001,87118600
2022-02-10,17.969999,18.629999,17.920000,18.080000,17.599180,76195300
2022-02-11,18.100000,18.360001,17.420000,17.549999,17.083275,94534100
2022-02-14,17.510000,17.730000,17.290001,17.459999,16.995668,78625000
2022-02-15,17.799999,18.129999,17.719999,18.080000,17.599180,65883300
2022-02-16,17.889999,18.209999,17.740000,18.010000,17.531042,57442100
2022-02-17,17.860001,17.940001,17.500000,17.540001,17.073542,55368600
2022-02-18,17.600000,18.480000,17.570000,18.040001,17.560244,106404200
2022-02-22,17.670000,17.760000,17.070000,17.290001,16.830191,98550700
2022-02-23,17.500000,17.730000,16.879999,16.950001,16.499231,79855400
2022-02-24,15.990000,17.190001,15.960000,17.150000,16.693911,110443900
2022-02-25,17.250000,17.900000,17.120001,17.830000,17.355827,78888000
2022-02-28,17.340000,17.680000,17.209999,17.559999,17.093010,82367800
2022-03-01,17.410000,17.410000,16.450001,16.700001,16.255880,94819500
2022-03-02,17.500000,18.250000,17.299999,18.100000,17.618649,138638200
2022-03-03,18.250000,18.250000,17.440001,17.600000,17.131947,95395500
2022-03-04,17.350000,17.389999,16.639999,16.850000,16.401890,91304000
2022-03-07,16.840000,16.900000,15.970000,15.970000,15.545294,87999200
2022-03-08,16.059999,16.719999,15.770000,16.030001,15.603699,101020300
2022-03-09,16.650000,16.830000,16.280001,16.370001,15.934657,62846700
2022-03-10,16.110001,16.410000,15.760000,16.330000,15.895720,72992600
2022-03-11,16.400000,16.480000,16.010000,16.040001,15.613433,54985900
2022-03-14,16.090000,16.230000,15.510000,15.740000,15.321409,66341700
2022-03-15,15.770000,16.139999,15.530000,16.059999,15.632900,65263700
2022-03-16,16.469999,16.629999,16.059999,16.580000,16.139072,82677600
2022-03-17,16.230000,16.580000,16.160000,16.580000,16.139072,58500200
2022-03-18,16.420000,16.900000,16.280001,16.860001,16.411625,89144000
2022-03-21,16.870001,17.110001,16.330000,16.480000,16.041731,72583600
2022-03-22,16.719999,17.309999,16.700001,17.090000,16.635509,77647100
2022-03-23,16.820000,17.049999,16.570000,16.680000,16.236412,63296800
2022-03-24,16.740000,16.980000,16.639999,16.830000,16.382423,56314200
2022-03-25,16.740000,16.780001,16.340000,16.469999,16.031996,62023100
2022-03-28,16.549999,16.680000,16.280001,16.670000,16.226679,54634400
2022-03-29,17.010000,17.799999,17.010000,17.750000,17.277956,90676900
2022-03-30,17.520000,17.660000,17.200001,17.270000,16.810722,57853400
2022-03-31,17.200001,17.350000,16.500000,16.910000,16.460295,52529400
2022-04-01,17.010000,17.150000,16.340000,16.650000,16.207209,64695700
2022-04-04,16.660000,16.730000,16.360001,16.660000,16.216944,51146500
2022-04-05,16.459999,16.620001,15.810000,15.820000,15.399283,91708000
2022-04-06,15.600000,15.800000,15.180000,15.390000,14.980719,102881600
2022-04-07,15.070000,15.210000,14.560000,14.960000,14.562154,101229100
2022-04-08,14.940000,15.440000,14.810000,15.050000,14.649760,75085800
2022-04-11,14.890000,15.770000,14.890000,15.280000,14.873643,66117100
2022-04-12,15.500000,15.720000,15.280000,15.360000,14.951516,49138700
2022-04-13,15.310000,15.550000,15.220000,15.510000,15.097528,51871800
2022-04-14,15.500000,15.760000,15.460000,15.480000,15.068325,39312900
2022-04-18,15.370000,15.790000,15.370000,15.670000,15.253272,40205800
2022-04-19,15.740000,16.230000,15.740000,16.150000,15.720507,55398300
2022-04-20,16.230000,16.549999,16.010000,16.049999,15.623166,47351500
2022-04-21,16.480000,16.570000,15.610000,15.700000,15.282474,49898500
2022-04-22,15.550000,15.640000,15.000000,15.130000,14.727633,56193700
2022-04-25,14.910000,15.200000,14.620000,15.190000,14.884413,58361400
2022-04-26,15.100000,15.140000,14.670000,14.710000,14.414070,60345300
2022-04-27,14.790000,15.100000,14.600000,14.850000,14.551253,65847900
2022-04-28,14.910000,14.990000,13.900000,14.620000,14.325880,131556500
2022-04-29,14.590000,14.970000,14.100000,14.160000,13.875134,83184900
2022-05-02,14.020000,14.290000,13.820000,14.270000,13.982923,64734000
2022-05-03,14.310000,14.750000,14.200000,14.560000,14.267088,55734200
2022-05-04,14.510000,15.000000,14.260000,14.980000,14.678638,59774900
2022-05-05,14.820000,14.820000,14.340000,14.530000,14.237692,57889200
2022-05-06,14.460000,14.600000,14.000000,14.210000,13.924129,66622200
2022-05-09,13.850000,14.170000,13.310000,13.370000,13.101027,71242000
2022-05-10,13.800000,13.840000,13.020000,13.350000,13.081430,75506700
2022-05-11,13.200000,13.620000,12.790000,12.830000,12.571891,71644900
2022-05-12,12.210000,12.800000,12.150000,12.440000,12.189736,113203900
2022-05-13,12.880000,13.630000,12.870000,13.500000,13.228413,78944200
2022-05-16,13.490000,13.520000,12.980000,13.050000,12.787466,65055400
2022-05-17,13.340000,13.530000,13.160000,13.530000,13.257809,50891400
2022-05-18,13.250000,13.360000,12.710000,12.780000,12.522897,68362500
2022-05-19,12.640000,13.120000,12.630000,12.850000,12.591490,58459600
2022-05-20,13.050000,13.120000,12.070000,12.500000,12.248530,78183400
2022-05-23,12.640000,12.950000,12.500000,12.830000,12.571891,51929600
2022-05-24,12.600000,12.680000,12.270000,12.420000,12.170139,51082800
2022-05-25,12.330000,12.810000,12.320000,12.710000,12.454306,41193100
2022-05-26,12.800000,13.200000,12.790000,13.120000,12.856057,45709200
2022-05-27,13.260000,13.630000,13.240000,13.630000,13.355797,54195700
2022-05-31,13.680000,13.820000,13.350000,13.680000,13.404792,79689900
